题目,作者,年份,方法,CFD维度,结构模型,试验数据,主要结论,局限,链接
Laboratory measurements of vortex-induced vibrations of a vertical tension riser in a stepped current,"Chaplin, Bearman, Huera Huarte, Pattenden",2005,柔性立管水池试验；阶梯流,试验,顶张柔性管,Southampton/Chaplin；32个截面双向应变、张力、速度和部分加速度/阻力,形成经典阶梯流柔性立管验证集，覆盖多张力和流速系列,MIT下载需密码；部分系列顶部张力测量故障；边界与阻尼需按原文核实,https://doi.org/10.1016/j.jfluidstructs.2005.04.010
Blind predictions of laboratory measurements of vortex-induced vibrations of a tension riser,Chaplin et al.,2005,多种VIV预测方法盲测对比,试验与多模型,多种,Southampton/Chaplin阶梯流,展示当时模型对高模态、多频响应预测能力和误差差异,方法异质；不能替代原始数据验证,https://doi.org/10.1016/j.jfluidstructs.2005.05.016
Experimental investigation of vortex-induced vibration of long marine risers,Trim et al.,2005,38 m长柔性管试验,试验,顶张柔性管,NDP高模态均匀流与剪切流,提供高模态、多频与行内/横流响应数据，是常用长柔性管基准,数据访问和完整字段需向数据持有方确认,https://doi.org/10.1016/j.jfluidstructs.2005.07.014
Modal analysis of measurements from a large-scale VIV model test of a riser in linearly sheared flow,"Lie, Kaasen",2006,90 m大尺度柔性管试验与模态识别,试验,顶张柔性管,Hanøytangen线性剪切流,给出大尺度剪切流下多模态响应与模态分析,公开下载条件与完整原始数据需另行确认,https://doi.org/10.1016/j.jfluidstructs.2006.01.002
"Insights on vortex-induced, traveling waves on long risers","Vandiver, Jaiswal, Jhingran",2009,海上长柔性管试验分析,试验,152.4 m顶张柔性管,Miami/Gulf Stream 2006；FBG应变、ADCP流场,揭示长立管中的行波、高模态和空间变化响应,MIT下载需密码；Data包不含全部原始应变，已知问题需查随附文档,https://doi.org/10.1016/j.jfluidstructs.2008.11.005
Numerical simulation of VIV of a long flexible riser in uniform and linearly sheared currents,"Wang, Xiao",2016,分区耦合全三维CFD–FEM,三维,细长结构FEM,公开长柔性管基准,展示高保真CFD对均匀流和剪切流柔性立管VIV的预测能力,计算成本高，不适合本课题参数扫描；不是二维切片路线,https://doi.org/10.1016/j.oceaneng.2016.06.002
Numerical simulation of flexible riser VIV under various current profiles,"Fu, Zou, Wan",2017,viv-FOAM-SJTU二维切片CFD–FEM,二维切片；20切片,Euler–Bernoulli梁FEM；约80单元,均匀/剪切/阶梯等流速剖面,证明二维切片与梁模型可用于多种来流剖面的长立管响应,几何非线性和低张力适用性未作为核心问题；切片轴向相关效应受限,https://doi.org/10.1007/s11804-017-1429-3
Numerical study of vortex-induced vibration of a flexible riser with different aspect ratios,"Duanmu, Zou, Wan",2017,URANS SST k-omega；PIMPLE；切片CFD与梁FEM松耦合,二维切片,Euler–Bernoulli梁；Newmark；张力随空间变化但时间上给定,均匀流与剪切流公开试验,建立viv-FOAM-SJTU早期方法框架，并验证不同长细比立管,结构几何非线性、动态张力和严格守恒非匹配传递未明确解决,https://doi.org/10.1016/S1001-6058(16)60815-6
Numerical simulation of vortex-induced vibration of a flexible riser in step current,"Duanmu, Zou, Wan",2018,viv-FOAM-SJTU二维切片耦合,二维切片,Euler–Bernoulli梁FEM,Chaplin/Southampton阶梯流,在阶梯流基准上评估位移、频率和模态响应,线性梁与二维切片对大变形/低张力的边界未量化,https://doi.org/10.1016/j.oceaneng.2017.12.033
Numerical simulation of vortex-induced vibration of a flexible cylinder in oscillatory flow,"Fu, Zou, Wan",2018,二维切片CFD–FEM,二维切片,Euler–Bernoulli梁FEM,振荡流柔性圆柱试验,扩展切片方法到随时间变化的来流并分析响应特征,不是本文均匀/剪切流主线；仍受线性结构与切片假设限制,https://doi.org/10.1016/j.jfluidstructs.2017.12.006
A novel thick strip method for simulating vortex-induced vibration of a flexible riser,"Deng, Zhao, Wan",2020,viv3D-FOAM-SJTU厚切片；局部三维CFD,三维厚切片,Euler–Bernoulli梁FEM,Lehn均匀流与Chaplin阶梯流,通过有限轴向厚度捕捉部分三维尾涡结构；文中建议厚度量级约L/50,成本高于二维切片；仍非全长三维且结构模型仍为传统梁；本课题仅作后期扩展,https://doi.org/10.1016/j.oceaneng.2020.107318
A mini review of numerical methods for vortex-induced vibration of marine risers,Liu et al.,2020,VIV数值方法综述,多维度,多种,多类公开基准,总结经验模型、切片法与三维CFD等路线及其成本/精度权衡,综述不能替代具体算法与验证原文,https://doi.org/10.1016/j.oceaneng.2019.106704
Investigation of nonlinear structural behavior and tension fluctuation in vortex-induced vibration of a flexible riser,Kim et al.,2021,非线性结构响应与动态张力分析,数值耦合,几何非线性立管,柔性立管算例,指出大响应下几何非线性和张力波动会改变立管动力响应,模型和工况与拟开发切片–ANCF方案不同，阈值不能直接移植,https://doi.org/10.1016/j.oceaneng.2021.109508
Comparison of cable and beam models for nonlinear dynamic analysis of marine risers,"Prethiv Kumar, Nallayarasu",2022,缆索/梁非线性动力学对比,无CFD或工程载荷,非线性缆索与梁模型,立管工程算例,说明模型选择、弯曲刚度和几何非线性会影响低张力或大位移预测,不是统一CFD载荷下ANCF对传统梁的直接比较,https://doi.org/10.1016/j.oceaneng.2022.112659
Experimental investigation of vortex-induced vibration of a flexible pipe in bidirectionally sheared flow,Fu et al.,2022,柔性管水池试验,试验,柔性管,双向剪切流；VIVdatashare提供受协议约束的选定应变数据,提供复杂剪切流下的双向响应数据和数值代码验证背景,仓库说明数据受合同限制；不适合作为无需申请的首选公开验证集,https://doi.org/10.1016/j.jfluidstructs.2022.103722
A validated fluid–structure interaction simulation model for vortex-induced vibration of a flexible pipe in steady flow,Fu et al.,2025,OpenFOAM二维切片 + MATLAB梁FEM,二维切片,线性Euler梁；恒张力；每节点6自由度,双向剪切柔性管试验,给出VIVdatashare Flexible_pipe程序的方法说明与验证,仓库没有明确LICENSE；代码采用OpenFOAM-8/MATLAB 2018且耦合传递未体现H/H^T守恒对偶,https://doi.org/10.1016/j.marstruc.2025.103895
Dynamics of multibody systems using absolute coordinates,Shabana,1997,ANCF基础理论,无CFD,绝对节点坐标有限元,理论与基准算例,建立用绝对位置和梯度描述大转动、大变形柔性体的基本框架,基础论文；具体细长梁公式、锁死和海洋载荷需后续研究,https://doi.org/10.1023/A:1009740800463
Three dimensional absolute nodal coordinate formulation for beam elements: theory,"Shabana, Yakoub",2001,三维ANCF梁单元,无CFD,三维ANCF梁,数值基准,系统给出三维ANCF梁的运动学与动力学建模方法,高阶连续体梁可能存在锁死和计算成本问题，需按细长立管选择单元,https://doi.org/10.1115/1.1410100
An efficient absolute nodal coordinate formulation cable element for large deformation dynamics,Zhang et al.,2022,高效ANCF缆索单元,无CFD,ANCF缆索,大变形缆索基准,改进大变形缆索计算效率，为长细低弯刚度结构提供候选公式,缆索不含或弱化弯曲效应，不能无条件替代立管梁模型,https://doi.org/10.1016/j.apm.2021.09.027
Locking and alleviation techniques for absolute nodal coordinate formulation beam elements: a review,Obrezkov et al.,2022,ANCF锁死综述,无CFD,多类ANCF梁,数值基准汇总,总结剪切、体积和膜锁死及缓解方法，说明ANCF并非自动优于传统梁,需结合所获课题组源码的具体单元公式判断,https://doi.org/10.1007/s11071-022-07518-z
Dynamic analysis of offshore operation systems using absolute nodal coordinate formulation,"Li, Wang",2023,ANCF海洋柔性结构动力学,工程载荷,ANCF梁/缆索,海洋作业系统算例,表明ANCF适合包含大转动和大变形的海洋柔性系统统一描述,并非VIV切片CFD验证；不能直接证明本课题精度增益,https://doi.org/10.1016/j.oceaneng.2023.114645
Dynamic analysis of a CALM buoy system using the absolute nodal coordinate formulation,Fan et al.,2024,ANCF系泊/浮体耦合动力学,工程水动力,ANCF缆索/柔性构件,CALM系统数值算例,展示ANCF在近期海洋柔性多体系统中的应用,非柔性立管VIV，验证指标与本文不同,https://doi.org/10.1016/j.oceaneng.2024.117916
Load and motion transfer algorithms for fluid/structure interaction problems with non-matching discrete interfaces,"Farhat, Lesoinne, Le Tallec",1998,非匹配界面运动/载荷传递,通用FSI,通用结构离散,数值算例,奠定非匹配流固界面上一致运动和载荷传递的经典框架,面向一般界面，需适配切片截面到一维中心线映射,https://doi.org/10.1016/S0045-7825(97)00216-8
Conservative load transfer along curved fluid–solid interface with non-matching meshes,"Jaiman, Jiao, Geubelle, Loth",2006,曲面非匹配网格守恒载荷传递,通用CFD,通用FEM,数值算例,强调曲面界面上传递的整体力和力矩一致性,不是切片—ANCF专用实现，离散算子仍需自行构造和测试,https://doi.org/10.1016/j.jcp.2006.02.016
A comparison of the accuracy of interpolation methods for interface coupling of partitioned fluid–structure interaction problems,de Boer et al.,2008,RBF等界面插值对比；转置载荷映射,通用FSI,通用FEM,插值基准,明确以位移映射的转置传递载荷可保持离散虚功，是H与H^T契约的重要依据,插值精度与守恒不同；实际切片权重和力矩自由度需单独验证,https://doi.org/10.1016/j.cma.2008.05.001
